shortener,prolonger,n,seed,L,abs_L_over_n,L_times_logn_over_n,P_size,sum_inv_p,max_p_in_B,num_primes_in_B,sum_omega,log_log_n,ratio_to_loglog,wall_seconds
S_pair_response,P_block_product,10000,0,1361,0.1361,1.2535273246259584,681,1.9532111435849588,9967,620,763,2.2203268063678463,0.8796953394352552,0.04554437499609776
S_pair_response,P_block_product,100000,0,10576,0.10576,1.2176069971752512,5288,2.1370305298837606,99989,4809,5822,2.443470357682056,0.8745882769419013,1.0337644579994958
S_pair_response,P_block_product,1000000,0,85003,0.085003,1.1743598439586371,42502,2.2965330259739267,999983,39281,45914,2.625791914476011,0.8746058715898707,37.381733959002304
S_pair_response,P_interval_top,1000,0,174,0.174,1.2019494185428918,87,0.6496126227511269,997,83,105,1.9326447339160655,0.33612624780491057,0.0009987079974962398
S_pair_response,P_interval_top,10000,0,1253,0.1253,1.1540556486086158,627,0.5750257027040544,9973,607,726,2.2203268063678463,0.2589824619758199,0.014825000005657785
S_pair_response,P_interval_top,100000,0,10006,0.10006,1.1519833220249212,5003,0.724072285102724,99989,4651,6064,2.443470357682056,0.29632947370378543,0.4147957080131164
S_pair_response,P_interval_top,1000000,0,81704,0.081704,1.128782474627913,40852,0.7186039801700008,999979,38143,49263,2.625791914476011,0.273671335572454,20.709787165993475
S_pair_response,P_heuristic_maxdeg,1000,0,168,0.168,1.160502886868999,84,1.2335831151186951,991,84,84,1.9326447339160655,0.6382875721908388,0.003189416995155625
S_pair_response,P_heuristic_maxdeg,10000,0,1229,0.1229,1.131950831715873,615,1.3763583326301014,9973,615,615,2.2203268063678463,0.6198899768640983,0.04751791700255126
S_pair_response,P_heuristic_maxdeg,100000,0,9592,0.09592,1.1043198105999443,4796,1.487436739148394,99989,4796,4796,2.443470357682056,0.6087394244305128,1.0133425000094576
S_pair_response,P_heuristic_maxdeg,1000000,0,78498,0.078498,1.0844899477790797,39249,1.5784669751768943,999979,39249,39249,2.625791914476011,0.6011393996892114,36.50486637499125
S_harmonic,P_block_product,1000,0,264,0.264,1.823647393651284,132,2.0276842258616146,991,105,185,1.9326447339160655,1.0491758729774268,0.0067092500103171915
S_harmonic,P_block_product,10000,0,2269,0.2269,2.0898262304013957,1135,2.371680241166019,9967,768,1709,2.2203268063678463,1.0681671879851626,0.10252945900720078
S_harmonic,P_block_product,100000,0,19264,0.19264,2.217849961571865,9632,2.6204008685690865,99989,5982,14987,2.443470357682056,1.0724095180163642,1.7040425420127576
S_harmonic,P_block_product,1000000,0,168096,0.168096,2.3223320627515625,84048,2.8203800796285563,999979,48982,134022,2.625791914476011,1.074106468254312,25.478488624998135
S_harmonic,P_interval_top,1000,0,463,0.463,3.1982906941687292,232,1.9874597512298071,593,69,544,1.9326447339160655,1.0283626971640418,0.00479149998864159
S_harmonic,P_interval_top,10000,0,4771,0.4771,4.394253391469838,2386,2.323451681936849,5669,447,6308,2.2203268063678463,1.0464458093615963,0.06847304200346116
S_harmonic,P_interval_top,100000,0,48221,0.48221,5.551647788463295,24111,2.583621225592509,55207,3355,68568,2.443470357682056,1.0573573022769975,1.1934942080115434
S_harmonic,P_interval_top,1000000,0,482671,0.482671,6.668346296523175,241336,2.7853123800771136,542219,26071,728160,2.625791914476011,1.0607513736033938,19.469143708003685
S_harmonic,P_heuristic_maxdeg,1000,0,229,0.229,1.5818759588869094,115,1.9228247642908554,997,69,174,1.9326447339160655,0.9949188956185898,0.0055960420140763745
S_harmonic,P_heuristic_maxdeg,10000,0,2008,0.2008,1.8494363466928179,1004,2.282971505756919,9949,377,1799,2.2203268063678463,1.0282141796466218,0.07193533300596755
S_harmonic,P_heuristic_maxdeg,100000,0,17938,0.17938,2.0651885699063595,8969,2.540641292544945,33331,2335,16908,2.443470357682056,1.0397675930699926,1.245923333990504
S_harmonic,P_heuristic_maxdeg,1000000,0,163689,0.163689,2.261447107722614,81845,2.746452069064518,333299,16692,156868,2.625791914476011,1.0459519103259123,18.655892541995854
S_slp_odd,P_random,1000,0,174,0.174,1.2019494185428918,87,0.8643190648431885,997,82,110,1.9326447339160655,0.44722087286670753,0.0011885419953614473
S_slp_odd,P_random,1000,1,185,0.185,1.2779347266116954,93,0.9921228333379852,997,76,131,1.9326447339160655,0.5133498236521069,0.0011554170050658286
S_slp_odd,P_random,1000,2,191,0.191,1.319381258285588,96,1.0956359765820076,997,73,138,1.9326447339160655,0.566910181346134,0.0008757079922361299
S_slp_odd,P_random,1000,3,209,0.209,1.4437208533072667,105,1.1756433577994454,997,65,176,1.9326447339160655,0.6083080543299187,0.0009584999934304506
S_slp_odd,P_random,1000,4,200,0.2,1.3815510557964275,100,1.170311187220657,997,68,155,1.9326447339160655,0.6055490523854776,0.0009326670115115121
S_slp_odd,P_random,1000,5,197,0.197,1.360827789959481,99,1.1372938438624645,997,70,153,1.9326447339160655,0.5884650313138499,0.0009357499948237091
S_slp_odd,P_random,1000,6,190,0.19,1.3124735030066061,95,0.9643702271809201,997,74,137,1.9326447339160655,0.4989899127641752,0.0008995420066639781
S_slp_odd,P_random,1000,7,195,0.195,1.3470122794015167,98,1.1378321292506859,997,71,149,1.9326447339160655,0.5887435539925269,0.0009467919880989939
S_slp_odd,P_random,1000,8,192,0.192,1.3262890135645702,96,1.1383907740421033,991,73,140,1.9326447339160655,0.5890326111490822,0.000861666994751431
