shortener,prolonger,n,runs,L_mean,L_stdev,sum_inv_p_mean,sum_inv_p_stdev,ratio_to_loglog_mean,ratio_to_loglog_stdev,L_times_logn_over_n_mean,L_times_logn_over_n_stdev,wall_seconds_mean
S_primorial_anchor,P_random,10000,10,1317.9,53.53587582173285,0.8250927365277526,0.24664695485744886,0.3716086902889275,0.11108587895712967,1.2138307576227412,0.049308363843001,0.010934699997596909
S_primorial_anchor,P_random,100000,10,10188.3,324.70942394701143,0.8292335205624901,0.28909890289730344,0.3393671291961668,0.11831488030472803,1.1729713851475618,0.03738355395675362,0.15978158750222066
S_primorial_anchor,P_random,1000000,10,99702.6,1411.3067845085986,1.7222328203764885,0.03377139313840715,0.6558908232148198,0.012861412571280002,1.377442322956489,0.019497923781905128,2.4166177334016536
S_slp_odd,P_block_product,1000,1,187.0,0.0,1.7141672233903524,0.0,0.8869541273201216,0.0,1.2917502371696596,0.0,0.004120166995562613
S_slp_odd,P_block_product,10000,1,1361.0,0.0,1.9532111435849588,0.0,0.8796953394352552,0.0,1.2535273246259584,0.0,0.049746250006137416
S_slp_odd,P_block_product,100000,1,10576.0,0.0,2.1370305298837606,0.0,0.8745882769419013,0.0,1.2176069971752512,0.0,0.7430926250090124
S_slp_odd,P_block_product,1000000,1,85003.0,0.0,2.2965330259739267,0.0,0.8746058715898707,0.0,1.1743598439586371,0.0,10.14587149998988
S_slp_odd,P_heuristic_maxdeg,1000,1,168.0,0.0,1.2335831151186951,0.0,0.6382875721908388,0.0,1.160502886868999,0.0,0.0034404999896651134
S_slp_odd,P_heuristic_maxdeg,10000,1,1229.0,0.0,1.3763583326301014,0.0,0.6198899768640983,0.0,1.131950831715873,0.0,0.0405349579959875
S_slp_odd,P_heuristic_maxdeg,100000,1,9592.0,0.0,1.487436739148394,0.0,0.6087394244305128,0.0,1.1043198105999443,0.0,0.5658900419948623
S_slp_odd,P_heuristic_maxdeg,1000000,1,78498.0,0.0,1.5784669751768943,0.0,0.6011393996892114,0.0,1.0844899477790797,0.0,7.554961707995972
S_slp_odd,P_interval_top,1000,1,201.0,0.0,1.1027125653633694,0.0,0.5705717900511248,0.0,1.3884588110754097,0.0,0.0009843750012805685
S_slp_odd,P_interval_top,10000,1,1436.0,0.0,1.0492754904755741,0.0,0.47257704922819294,0.0,1.32260487741578,0.0,0.011323333004838787
S_slp_odd,P_interval_top,100000,1,12314.0,0.0,1.2945737296942414,0.0,0.529809467761381,0.0,1.4177016417564339,0.0,0.15623179099929985
S_slp_odd,P_interval_top,1000000,1,95940.0,0.0,1.2432685698282469,0.0,0.47348328059588335,0.0,1.3254600829310925,0.0,2.126280875003431
S_slp_odd,P_random,1000,10,191.8,9.019977827023745,1.0638188289369228,0.10316883494171426,0.5504471723477784,0.05338220373936292,1.3249074625087738,0.062307799450925114,0.0009587751977960579
S_slp_odd,P_random,10000,10,1351.2,74.38924653469748,1.0158431515271646,0.14691241709881503,0.4575196536896054,0.06616702400631908,1.2445011910614219,0.0685150280599414,0.01093104590108851
S_slp_odd,P_random,100000,10,10521.1,377.8850221959055,1.025037719954803,0.10195548535793829,0.4195007795908694,0.0417256894635121,1.2112864010949829,0.0435056209487008,0.1655170749028912
S_slp_odd,P_random,1000000,10,87775.5,5963.007282403737,1.0739906975022486,0.20374625058574547,0.4090159207137967,0.07759421051702187,1.2126633469805932,0.08238199006726668,2.2893457667014445
