move,player,x,killed_now,top_live
6912,S,33053,28,189508
6976,S,33391,27,189028
7040,S,33679,27,188548
7104,S,34031,27,188068
7168,S,34361,27,187588
7232,S,34679,26,187130
7296,S,35053,26,186682
7360,S,35381,26,186234
7424,S,35759,25,185786
7488,S,36073,25,185338
7552,S,36457,25,184890
7616,S,36749,25,184442
7680,S,37039,24,183995
7744,S,37397,24,183579
7808,S,37693,24,183163
7872,S,38113,24,182747
7936,S,38453,24,182331
8000,S,38803,23,181915
8064,S,39161,23,181499
8128,S,39511,23,181083
8192,S,39877,23,180667
8256,S,40277,22,180274
8320,S,40693,22,179890
8384,S,41017,22,179506
8448,S,41357,22,179122
8512,S,41669,21,178738
8576,S,42017,21,178354
8640,S,42391,21,177970
8704,S,42743,21,177586
8768,S,43103,21,177202
8832,S,43541,20,176823
8896,S,43943,20,176471
8960,S,44257,20,176119
9024,S,44641,20,175767
9088,S,44983,20,175415
9152,S,45389,20,175063
9216,S,45763,19,174711
9280,S,46171,19,174359
9344,S,46523,19,174007
9408,S,46877,19,173655
9472,S,47297,19,173303
9536,S,47653,18,172955
9600,S,48017,18,172635
9664,S,48407,18,172315
9728,S,48779,18,171995
9792,S,49139,18,171675
9856,S,49499,18,171355
9920,S,49877,18,171035
9984,S,50231,17,170715
10048,S,50591,17,170395
10112,S,51001,17,170075
10176,S,51413,17,169755
10240,S,51769,17,169435
10304,S,52121,17,169115
10368,S,52529,17,168795
10432,S,52879,16,168496
10496,S,53239,16,168208
10560,S,53629,16,167920
10624,S,54037,16,167632
10688,S,54419,16,167344
10752,S,54829,16,167056
10816,S,55217,16,166768
10880,S,55621,15,166480
10944,S,55921,15,166192
11008,S,56369,15,165904
11072,S,56701,15,165616
11136,S,57047,15,165328
11200,S,57397,15,165040
11264,S,57829,15,164752
11328,S,58189,15,164464
11392,S,58567,15,164176
11456,S,58991,15,163888
11520,S,59359,15,163600
11584,S,59699,15,163312
11648,S,60127,15,163024
11712,S,60527,15,162736
11776,S,60923,15,162448
11840,S,61357,15,162160
11904,S,61703,15,161872
11968,S,62119,15,161584
12032,S,62507,14,161296
12096,S,62921,14,161008
12160,S,63331,14,160720
12224,S,63659,14,160432
12288,S,64067,14,160144
12352,S,64513,14,159856
12416,S,64919,14,159568
12480,S,65323,14,159280
12544,S,65677,14,158992
12608,S,66083,14,158704
12672,S,66509,14,158416
12736,S,66889,13,158147
12800,S,67261,13,157891
12864,S,67679,13,157635
12928,S,68041,13,157379
12992,S,68491,13,157123
13056,S,68879,13,156867
13120,S,69259,13,156611
13184,S,69763,13,156355
13248,S,70123,13,156099
13312,S,70501,13,155843
13376,S,70937,13,155587
13440,S,71339,13,155331
13504,S,71713,12,155075
13568,S,72073,12,154819
13632,S,72481,12,154563
13696,S,72883,12,154307
13760,S,73309,12,154051
13824,S,73673,12,153795
13888,S,74099,12,153539
13952,S,74471,12,153283
14016,S,74861,12,153027
14080,S,75277,12,152771
14144,S,75679,12,152515
14208,S,76079,12,152259
14272,S,76493,12,152003
14336,S,76919,12,151747
14400,S,77323,11,151523
14464,S,77713,11,151299
14528,S,78163,11,151075
14592,S,78577,11,150851
14656,S,79039,11,150627
14720,S,79397,11,150403
14784,S,79829,11,150179
14848,S,80209,11,149955
14912,S,80627,11,149731
14976,S,81001,11,149507
15040,S,81421,11,149283
15104,S,81817,11,149059
15168,S,82219,11,148835
15232,S,82651,11,148611
15296,S,83077,11,148387
15360,S,83449,10,148163
15424,S,83933,10,147939
15488,S,84389,10,147715
15552,S,84787,10,147491
15616,S,85159,10,147267
15680,S,85577,10,147043
15744,S,86017,10,146819
15808,S,86381,10,146595
15872,S,86813,10,146371
15936,S,87251,10,146147
16000,S,87649,10,145923
16064,S,88069,10,145699
16128,S,88589,10,145475
16192,S,88997,10,145251
16256,S,89381,10,145027
16320,S,89779,10,144803
16384,S,90187,10,144579
16448,S,90631,10,144355
16512,S,91033,9,144141
16576,S,91453,9,143949
16640,S,91873,9,143757
16704,S,92311,9,143565
16768,S,92699,9,143373
16832,S,93097,9,143181
16896,S,93497,9,142989
