move,player,x,killed_now,top_live
23616,S,183319,8,729672
23680,S,182899,8,729544
23744,S,182549,8,729416
23808,S,182159,8,729288
23872,S,181837,8,729160
23936,S,181421,8,729032
24000,S,181001,8,728904
24064,S,180491,8,728776
24128,S,180077,8,728648
24192,S,179749,8,728520
24256,S,179437,8,728392
24320,S,179057,8,728264
24384,S,178697,8,728136
24448,S,178361,8,728008
24512,S,177967,8,727880
24576,S,177533,8,727752
24640,S,177109,8,727624
24704,S,176713,8,727496
24768,S,176389,8,727368
24832,S,176053,8,727240
24896,S,175723,8,727112
24960,S,175303,8,726984
25024,S,174821,8,726856
25088,S,174431,8,726728
25152,S,174049,8,726600
25216,S,173687,8,726472
25280,S,173263,8,726344
25344,S,172853,8,726216
25408,S,172507,8,726088
25472,S,172153,8,725960
25536,S,171757,8,725832
25600,S,171401,8,725704
25664,S,170953,8,725576
25728,S,170603,8,725448
25792,S,170239,8,725320
25856,S,169889,8,725192
25920,S,169501,8,725064
25984,S,212281,8,724936
26048,S,211867,8,724808
26112,S,211469,8,724680
26176,S,211093,8,724552
26240,S,210713,8,724424
26304,S,210283,8,724296
26368,S,209971,8,724168
26432,S,209597,8,724040
26496,S,209263,8,723912
26560,S,208877,8,723784
26624,S,208463,8,723656
26688,S,208111,8,723528
26752,S,207709,8,723400
26816,S,207377,8,723272
26880,S,207013,8,723144
26944,S,206543,8,723016
27008,S,206209,8,722888
27072,S,205847,8,722760
27136,S,205441,8,722632
27200,S,205081,8,722504
27264,S,204641,8,722376
27328,S,204301,8,722248
27392,S,203869,8,722120
27456,S,203417,8,721992
27520,S,203017,8,721864
27584,S,202639,8,721736
27648,S,202201,8,721608
27712,S,201829,8,721480
27776,S,201499,8,721352
27840,S,201101,8,721224
27904,S,200671,8,721096
27968,S,200231,8,720968
28032,S,199819,8,720840
28096,S,199457,8,720712
28160,S,199021,8,720584
28224,S,198641,8,720456
28288,S,198277,8,720328
28352,S,197909,8,720200
28416,S,197521,8,720072
28480,S,197147,8,719944
28544,S,196739,8,719816
28608,S,196307,8,719688
28672,S,195931,8,719560
28736,S,195527,8,719432
28800,S,195157,8,719304
28864,S,194809,8,719176
28928,S,194353,8,719048
28992,S,193891,8,718920
29056,S,193559,8,718792
29120,S,193153,8,718664
29184,S,192799,8,718536
29248,S,192407,8,718408
29312,S,192047,8,718280
29376,S,191671,8,718152
29440,S,191281,8,718024
29504,S,190843,8,717896
29568,S,190529,8,717768
29632,S,190031,8,717640
29696,S,189661,8,717512
29760,S,189349,8,717384
29824,S,188933,8,717256
29888,S,232451,8,717128
29952,S,232007,8,717000
30016,S,231589,8,716872
30080,S,231269,8,716744
30144,S,230807,8,716616
30208,S,230383,8,716488
30272,S,230059,8,716360
30336,S,229703,8,716232
30400,S,229343,8,716104
30464,S,228953,8,715976
30528,S,228601,8,715848
30592,S,228281,8,715720
30656,S,227789,8,715592
30720,S,227459,8,715464
30784,S,227089,8,715336
30848,S,226637,8,715208
30912,S,226201,8,715080
30976,S,225809,8,714952
31040,S,225431,8,714824
31104,S,225077,8,714696
31168,S,224669,8,714568
31232,S,224261,8,714440
31296,S,223843,8,714312
31360,S,223429,8,714184
31424,S,223063,8,714056
31488,S,222713,8,713928
31552,S,222293,8,713800
31616,S,221909,8,713672
31680,S,221509,8,713544
31744,S,221093,8,713416
31808,S,220747,8,713288
31872,S,220351,8,713160
31936,S,219931,8,713032
32000,S,219613,8,712904
32064,S,219217,8,712776
32128,S,218839,8,712648
32192,S,218479,8,712520
32256,S,218081,8,712392
32320,S,217643,8,712264
32384,S,217271,8,712136
32448,S,216859,8,712008
32512,S,216481,8,711880
32576,S,216037,8,711752
32640,S,215587,8,711624
32704,S,215191,8,711496
32768,S,214759,8,711368
32832,S,214399,8,711240
32896,S,214007,8,711112
32960,S,213611,8,710984
33024,S,213217,8,710856
33088,S,212851,8,710728
33152,S,72301,7,710598
33216,S,68017,7,710406
33280,S,63053,7,710214
33344,S,243709,7,710106
33408,S,243391,7,710010
33472,S,242911,7,709914
33536,S,242509,7,709818
33600,S,242101,7,709722
33664,S,241771,7,709626
33728,S,241391,7,709530
33792,S,241027,7,709434
33856,S,240623,7,709338
33920,S,240173,7,709242
33984,S,239831,7,709146
34048,S,239429,7,709050
34112,S,239017,7,708954
34176,S,238639,7,708858
34240,S,238229,7,708762
34304,S,237901,7,708666
34368,S,237379,7,708570
34432,S,237011,7,708474
34496,S,236627,7,708378
34560,S,236167,7,708282
34624,S,235747,7,708186
34688,S,235273,7,708090
34752,S,234893,7,707994
34816,S,234529,7,707898
34880,S,234167,7,707802
34944,S,233693,7,707706
35008,S,233293,7,707610
35072,S,232847,7,707514
35136,S,270163,7,707418
35200,S,269719,7,707322
35264,S,269333,7,707226
35328,S,268973,7,707130
35392,S,268613,7,707034
35456,S,268091,7,706938
35520,S,267721,7,706842
35584,S,267451,7,706746
35648,S,267131,7,706650
35712,S,266689,7,706554
35776,S,266291,7,706458
35840,S,265891,7,706362
35904,S,265513,7,706266
35968,S,265129,7,706170
36032,S,264763,7,706074
36096,S,264323,7,705978
36160,S,263927,7,705882
36224,S,263533,7,705786
36288,S,263171,7,705690
36352,S,262723,7,705594
36416,S,262337,7,705498
36480,S,261971,7,705402
36544,S,261523,7,705306
36608,S,261059,7,705210
36672,S,260671,7,705114
36736,S,260231,7,705018
36800,S,259813,7,704922
36864,S,259429,7,704826
36928,S,258983,7,704730
36992,S,258613,7,704634
37056,S,258253,7,704538
37120,S,257867,7,704442
37184,S,257437,7,704346
37248,S,257053,7,704250
37312,S,256567,7,704154
37376,S,256129,7,704058
37440,S,255757,7,703962
37504,S,255371,7,703866
37568,S,255019,7,703770
37632,S,254699,7,703674
37696,S,254179,7,703578
37760,S,253801,7,703482
37824,S,253469,7,703386
37888,S,252979,7,703290
37952,S,252583,7,703194
38016,S,252169,7,703098
38080,S,251789,7,703002
38144,S,251393,7,702906
38208,S,251059,7,702810
38272,S,250709,7,702714
38336,S,250109,7,702618
38400,S,249749,7,702522
38464,S,249377,7,702426
38528,S,248903,7,702330
38592,S,248593,7,702234
38656,S,248201,7,702138
38720,S,247853,7,702042
38784,S,247501,7,701946
38848,S,247031,7,701850
38912,S,246689,7,701754
38976,S,246277,7,701658
39040,S,245897,7,701562
39104,S,245519,7,701466
39168,S,245087,7,701370
39232,S,244687,7,701274
39296,S,244357,7,701178
39360,S,243973,7,701082
39424,S,293717,7,700986
39488,S,293221,7,700890
39552,S,292801,7,700794
39616,S,292441,7,700698
39680,S,291997,7,700602
39744,S,291547,7,700506
39808,S,291167,7,700410
39872,S,290737,7,700314
39936,S,290399,7,700218
40000,S,290011,7,700122
40064,S,289589,7,700026
40128,S,289189,7,699930
40192,S,288877,7,699834
40256,S,288467,7,699738
40320,S,288049,7,699642
40384,S,287537,7,699546
40448,S,287137,7,699450
40512,S,286673,7,699354
40576,S,286301,7,699258
40640,S,285763,7,699162
40704,S,285433,7,699066
40768,S,284957,7,698970
40832,S,284633,7,698874
40896,S,284243,7,698778
40960,S,283859,7,698682
41024,S,283487,7,698586
41088,S,282991,7,698490
41152,S,282589,7,698394
41216,S,282143,7,698298
41280,S,281797,7,698202
41344,S,281429,7,698106
41408,S,281033,7,698010
41472,S,280697,7,697914
41536,S,280297,7,697818
41600,S,279883,7,697722
41664,S,279481,7,697626
41728,S,279007,7,697530
41792,S,278623,7,697434
41856,S,278227,7,697338
41920,S,277793,7,697242
41984,S,277373,7,697146
42048,S,276949,7,697050
42112,S,276557,7,696954
42176,S,276181,7,696858
42240,S,275813,7,696762
42304,S,275447,7,696666
42368,S,275039,7,696570
42432,S,274693,7,696474
42496,S,274201,7,696378
42560,S,273827,7,696282
42624,S,273311,7,696186
42688,S,272933,7,696090
42752,S,272477,7,695994
42816,S,272183,7,695898
42880,S,271769,7,695802
42944,S,271333,7,695706
43008,S,270931,7,695610
43072,S,270551,7,695514
43136,S,107813,6,695434
43200,S,299909,6,695334
43264,S,299063,6,695238
43328,S,298201,6,695142
43392,S,297391,6,695046
43456,S,296561,6,694950
43520,S,295787,6,694854
43584,S,294893,6,694758
43648,S,294131,6,694662
43712,S,223544,5,694564
43776,S,228824,5,694532
43840,S,48031,5,694474
43904,S,80261,5,694362
43968,S,143009,5,694310
44032,S,295226,5,694262
44096,S,296042,5,694198
44160,S,296858,5,694134
44224,S,297634,5,694070
