occ_0,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,profile_normalized,profile_unnormalized,profile_normalized_rational,profile_unnormalized_rational
0,0,0,1,2,0,0,0.01427857480056955,0.008019784315859506,40098921579297530206737310081/2808328011679292007196980015471,40098921579297530206737310081/5000000000000000000000000000000
0,0,0,2,0,0,1,0.0,0.0,0,0
0,0,0,2,0,1,0,0.0,0.0,0,0
0,0,0,2,1,0,0,0.03261410621645232,0.018318221612709355,61060738709031178255046574283/1872218674452861338131320010314,183182216127093534765139722849/10000000000000000000000000000000
0,0,0,3,0,0,0,0.0,0.0,0,0
0,0,1,0,0,0,2,0.0,0.0,0,0
0,0,1,0,0,1,1,0.04337421492275065,0.024361804550431722,487236091008634438609109848141/11233312046717168028787920061884,487236091008634438609109848141/20000000000000000000000000000000
0,0,1,0,0,2,0,0.019213509589442523,0.010791567436540027,23981260970088948099185403939/1248145782968574225420880006876,215831348730800532892668635451/20000000000000000000000000000000
0,0,1,0,1,0,1,0.0005655865338795946,0.00031767050122453284,2117803341496885671800558891/3744437348905722676262640020628,6353410024490657015401676673/20000000000000000000000000000000
0,0,1,0,1,1,0,7.304245839141866e-05,4.102543638850804e-05,205127181942540211900520924/2808328011679292007196980015471,51281795485635052975130231/1250000000000000000000000000000
0,0,1,0,2,0,0,0.0003573777683200708,0.00020072679950493744,4014535990098748532854245197/11233312046717168028787920061884,4014535990098748532854245197/20000000000000000000000000000000
0,0,1,1,0,0,1,0.0,0.0,0,0
0,0,1,1,0,1,0,0.014251972601018301,0.008004842775425096,80048427754250948452331149637/5616656023358584014393960030942,80048427754250948452331149637/10000000000000000000000000000000
0,0,1,1,1,0,0,0.00035036306726432504,0.00019678688321125599,1311912554741706606608874245/3744437348905722676262640020628,787147532845023963965324547/4000000000000000000000000000000
0,0,1,2,0,0,0,0.0,0.0,0,0
0,0,2,0,0,0,1,0.0,0.0,0,0
0,0,2,0,0,1,0,0.02101476010027981,0.011803267889667223,236065357793344463710711760111/11233312046717168028787920061884,236065357793344463710711760111/20000000000000000000000000000000
0,0,2,0,1,0,0,0.00029532504017447674,0.00016587391657445905,3317478331489181013012146231/11233312046717168028787920061884,3317478331489181013012146231/20000000000000000000000000000000
0,0,2,1,0,0,0,0.0,0.0,0,0
0,0,3,0,0,0,0,0.0,0.0,0,0
0,1,0,0,0,0,2,0.12200993349016787,0.06852878278471315,76143091983014614857793921831/624072891484287112710440003438,685287827847131533720145296479/10000000000000000000000000000000
0,1,0,0,0,1,1,0.012405460720661064,0.0069677205679239285,11612867613206547873273921721/936109337226430669065660005157,34838602839619643619821765163/5000000000000000000000000000000
0,1,0,0,0,2,0,0.0,0.0,0,0
0,1,0,0,1,0,1,0.002414996804059501,0.0013564206345912525,13564206345912525467541519625/5616656023358584014393960030942,108513650767300203740332157/80000000000000000000000000000
0,1,0,0,1,1,0,6.983415274849336e-11,3.922344146709686e-11,392234414670968640455/5616656023358584014393960030942,78446882934193728091/2000000000000000000000000000000
0,1,0,0,2,0,0,4.423499821226731e-05,2.484527691521874e-05,496905538304374765760976799/11233312046717168028787920061884,496905538304374765760976799/20000000000000000000000000000000
0,1,0,1,0,0,1,0.04034674951882245,0.022661381370783416,453227627415668310669056578595/11233312046717168028787920061884,90645525483133662133811315719/4000000000000000000000000000000
0,1,0,1,0,1,0,0.0,0.0,0,0
0,1,0,1,1,0,0,1.0456557365630742e-05,5.873088591126447e-06,58730885911264472388875699/5616656023358584014393960030942,58730885911264472388875699/10000000000000000000000000000000
0,1,0,2,0,0,0,0.0,0.0,0,0
0,1,1,0,0,0,1,0.0008326907828391097,0.000467693770102846,1558979233676153360869554137/1872218674452861338131320010314,4676937701028460082608662411/10000000000000000000000000000000
0,1,1,0,0,1,0,1.9512471522928e-06,1.0959484070986638e-06,21918968141973274951206919/11233312046717168028787920061884,21918968141973274951206919/20000000000000000000000000000000
0,1,1,0,1,0,0,1.9055855406479817e-05,1.0703018504905511e-05,214060370098110218427143399/11233312046717168028787920061884,214060370098110218427143399/20000000000000000000000000000000
0,1,1,1,0,0,0,1.519042374634261e-11,8.531938503226448e-12,170638770064528980721/11233312046717168028787920061884,170638770064528980721/20000000000000000000000000000000
